tipo_negocio,tiene_reja,anio_apertura,trabajadores_total,trabajadores_salario_fijo,expectativa_trabajadores_3m,ventas_vs_mes_anterior,razon_cambio_ventas,expectativa_ventas_3m,cambio_inventario,expectativa_inventario_3m,percepcion_inventario,cambio_precios,expectativa_precios_3m,impacto_crimen,impacto_falta_credito,impacto_precio_bienes,impacto_competencia,credito_bancos,credito_proveedores,credito_familia,credito_gobierno,credito_privado,credito_otro,razon_sin_credito,quiere_crecer,razon_no_crecer,nivel_digitalizacion,tecnologias_digitales,horario_apertura,horario_cierre,sexo,tipo_local,educacion,rango_edad,latitud,longitud,salario_dejar_negocio_num,salario_dejar_negocio_text,consumo_energia_kw_num,consumo_energia_kw_text,consumo_energia_kw_cash
Almacén,False,1980.0,1.0,0.0,Permanezca igual,Peor,Grandes empresarios aumentan los costos,Menores,Disminuyó,Disminuya,Muy poco,Aumentó,Aumenten,Mucho,Nada,Mucho,Mucho,False,True,False,False,False,No,Las tasas de interés son muy altas,True,,Básico: Usamos al menos una herramienta digital básica (ej. un celular o una app de mensajería) para algunas tareas.,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",9:00 am,8:30 pm,Mujer,Propio,Primaria,Más de 60,34.770292,-58.222781,0,,,,
Pescadería,False,2024.0,1.0,0.0,Aumente,Igual,Proximos meses: estacionalidad de las fiestas,Mayores,Permaneció igual,Permanezca igual,En su nivel correcto,Permaneció igual,Aumenten,Poco,Nada,Mucho,Nada,False,False,False,False,False,,Las tasas de interés son muy altas,False,Porque está satisfecho con su negocio,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).",Punto de venta digital (POS) o sistema de inventario.,8:30 am,8:30 pm,Mujer,Propio,Universidad y más,De 51 a 60,-34.57749034400566,-58.43047598092801,,no estaria dispuesta a dejarlo,1012,,
Dietéticas,False,1980.0,2.0,0.0,Permanezca igual,Igual,,Mayores,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Aumenten,Poco,Nada,Moderado,Nada,False,False,False,False,False,,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,Punto de venta digital (POS) o sistema de inventario.,9:30 am,7:30 pm,Hombre,Rentado,Universidad y más,Más de 60,-34.5770339,-58.4308475,13000000,,,no sabe,
Confitería o Panadería,False,1989.0,4.0,4.0,Permanezca igual,Peor,Caída de ingesos de la poblacion,Menores,Permaneció igual,Incremente,En su nivel correcto,Aumentó,Aumenten,Poco,Nada,Mucho,Mucho,False,False,False,False,False,,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,Punto de venta digital (POS) o sistema de inventario.,9:00 am,8:00 pm,Mujer,Propio,Secundaria,De 51 a 60,-34.5770452,-58.4306886,,Por un aumento sustantivo de salario,,No sabe,
Almacén,False,2022.0,5.0,5.0,Aumente,Igual,No contesta,Iguales,Permaneció igual,Permanezca igual,En su nivel correcto,Permaneció igual,Permanezcan igual,Poco,Nada,Algo,Poco,False,False,False,False,False,,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",8:30 am,9:00 pm,Hombre,Rentado,Secundaria,De 31 a 40,-34.5779241,-58.4293843,,No aceptaria,,No lo sabe,
Confitería o Panadería,False,2000.0,10.0,10.0,Permanezca igual,Igual,Clima,Menores,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Permanezcan igual,Nada,Nada,Moderado,Nada,False,True,False,False,False,,No necesito un crédito,False,Porque está satisfecho con su negocio,Básico: Usamos al menos una herramienta digital básica (ej. un celular o una app de mensajería) para algunas tareas.,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",7:00 am,9:00 pm,Hombre,Propio,Secundaria,Más de 60,-34.5777679,-58.4288378,,No está dispuesto a cerrar,,No sabe,
Kiosko,False,2024.0,1.0,0.0,Aumente,Mejor,Porque aumentaron los precios,Mayores,Aumentó,Incremente,Muy poco,Aumentó,Permanezcan igual,Poco,Poco,Algo,Mucho,False,True,False,False,False,,No necesito un crédito,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",7:00 am,9:00 pm,Hombre,Propio,Universidad y más,De 31 a 40,-34.6106358,-58.3971522,0,,142,,
Kiosko,False,2018.0,2.0,0.0,Permanezca igual,Mejor,,Mayores,Permaneció igual,Incremente,Muy poco,Aumentó,Aumenten,Poco,Poco,Algo,Poco,False,False,False,False,False,,No necesito un crédito,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).",Punto de venta digital (POS) o sistema de inventario.,10:00 am,8:00 pm,Hombre,Propio,Universidad y más,Más de 60,-34.6127586,-58.3961739,0,,,,
Kiosko,False,2021.0,3.0,3.0,Permanezca igual,Mejor,El calor hace que aumente las ventas de bebidas,Mayores,Disminuyó,Incremente,Muy poco,Permaneció igual,Aumenten,Poco,Algo,Moderado,Nada,True,True,False,False,False,,,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",10:00 am,10:00 pm,Hombre,Rentado,Universidad y más,De 31 a 40,-34.608223,-58.39672,0,,,,
Carnicería,False,2024.0,2.0,2.0,Aumente,Igual,,Mayores,Permaneció igual,Incremente,En su nivel correcto,Aumentó,Permanezcan igual,Poco,Nada,Poco,Mucho,False,False,False,False,False,,Las tasas de interés son muy altas,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",9:00 am,9:00 pm,Hombre,Rentado,Secundaria,De 21 a 30,-34.610574,-58.397398,0,,,,
